# -log(1-Mr/M*)    X_O        X_C        X_He       X_H         B          N^2
     7.910352   0.000000   0.000000   0.000000   1.000000   0.000000   0.11105E+02
     7.963588   0.000000   0.000000   0.000000   1.000000   0.000000   0.11455E+02
     8.016836   0.000000   0.000000   0.000000   1.000000   0.000000   0.11812E+02
     8.070094   0.000000   0.000000   0.000000   1.000000   0.000000   0.12178E+02
     8.123362   0.000000   0.000000   0.000000   1.000000   0.000000   0.12555E+02
     8.176641   0.000000   0.000000   0.000000   1.000000   0.000000   0.12950E+02
     8.229929   0.000000   0.000000   0.000000   1.000000   0.000000   0.13357E+02
     8.283228   0.000000   0.000000   0.000000   1.000000   0.000000   0.13769E+02
     8.336536   0.000000   0.000000   0.000000   1.000000   0.000000   0.14187E+02
     8.389853   0.000000   0.000000   0.000000   1.000000   0.000000   0.14619E+02
     8.443179   0.000000   0.000000   0.000000   1.000000   0.000000   0.15065E+02
     8.496514   0.000000   0.000000   0.000000   1.000000   0.000000   0.15513E+02
     8.549858   0.000000   0.000000   0.000000   1.000000   0.000000   0.15960E+02
     8.603210   0.000000   0.000000   0.000000   1.000000   0.000000   0.16418E+02
     8.656569   0.000000   0.000000   0.000000   1.000000   0.000000   0.16901E+02
     8.709936   0.000000   0.000000   0.000000   1.000000   0.000000   0.17395E+02
     8.763311   0.000000   0.000000   0.000000   1.000000   0.000000   0.17882E+02
     8.816693   0.000000   0.000000   0.000000   1.000000   0.000000   0.18374E+02
     8.870082   0.000000   0.000000   0.000000   1.000000   0.000000   0.18892E+02
     8.923477   0.000000   0.000000   0.000000   1.000000   0.000000   0.19431E+02
     8.976878   0.000000   0.000000   0.000000   1.000000   0.000000   0.19966E+02
     9.030286   0.000000   0.000000   0.000000   1.000000   0.000000   0.20492E+02
     9.083700   0.000000   0.000000   0.000000   1.000000   0.000000   0.21035E+02
     9.137118   0.000000   0.000000   0.000000   1.000000   0.000000   0.21608E+02
     9.190543   0.000000   0.000000   0.000000   1.000000   0.000000   0.22191E+02
     9.243973   0.000000   0.000000   0.000000   1.000000   0.000000   0.22766E+02
     9.297407   0.000000   0.000000   0.000000   1.000000   0.000000   0.23339E+02
     9.350846   0.000000   0.000000   0.000000   1.000000   0.000000   0.23925E+02
     9.404289   0.000000   0.000000   0.000000   1.000000   0.000000   0.24530E+02
     9.457735   0.000000   0.000000   0.000000   1.000000   0.000000   0.25159E+02
     9.511186   0.000000   0.000000   0.000000   1.000000   0.000000   0.25808E+02
     9.564640   0.000000   0.000000   0.000000   1.000000   0.000000   0.26467E+02
     9.618098   0.000000   0.000000   0.000000   1.000000   0.000000   0.27134E+02
     9.671560   0.000000   0.000000   0.000000   1.000000   0.000000   0.27824E+02
     9.725025   0.000000   0.000000   0.000000   1.000000   0.000000   0.28549E+02
     9.778494   0.000000   0.000000   0.000000   1.000000   0.000000   0.29295E+02
     9.831966   0.000000   0.000000   0.000000   1.000000   0.000000   0.30042E+02
     9.885441   0.000000   0.000000   0.000000   1.000000   0.000000   0.30802E+02
     9.938920   0.000000   0.000000   0.000000   1.000000   0.000000   0.31600E+02
     9.992402   0.000000   0.000000   0.000000   1.000000   0.000000   0.32440E+02
    10.045888   0.000000   0.000000   0.000000   1.000000   0.000000   0.33298E+02
    10.099377   0.000000   0.000000   0.000000   1.000000   0.000000   0.34163E+02
    10.152869   0.000000   0.000000   0.000000   1.000000   0.000000   0.35059E+02
    10.206364   0.000000   0.000000   0.000000   1.000000   0.000000   0.36010E+02
    10.259864   0.000000   0.000000   0.000000   1.000000   0.000000   0.37012E+02
    10.313367   0.000000   0.000000   0.000000   1.000000   0.000000   0.38053E+02
    10.366874   0.000000   0.000000   0.000000   1.000000   0.000000   0.39113E+02
    10.420385   0.000000   0.000000   0.000000   1.000000   0.000000   0.40174E+02
    10.473901   0.000000   0.000000   0.000000   1.000000   0.000000   0.41244E+02
    10.527419   0.000000   0.000000   0.000000   1.000000   0.000000   0.42366E+02
    10.580942   0.000000   0.000000   0.000000   1.000000   0.000000   0.43557E+02
    10.634468   0.000000   0.000000   0.000000   1.000000   0.000000   0.44782E+02
    10.687998   0.000000   0.000000   0.000000   1.000000   0.000000   0.46009E+02
    10.741532   0.000000   0.000000   0.000000   1.000000   0.000000   0.47254E+02
    10.795070   0.000000   0.000000   0.000000   1.000000   0.000000   0.48552E+02
    10.848612   0.000000   0.000000   0.000000   1.000000   0.000000   0.49900E+02
    10.902157   0.000000   0.000000   0.000000   1.000000   0.000000   0.51269E+02
    10.955706   0.000000   0.000000   0.000000   1.000000   0.000000   0.52646E+02
    11.009259   0.000000   0.000000   0.000000   1.000000   0.000000   0.54054E+02
    11.062815   0.000000   0.000000   0.000000   1.000000   0.000000   0.55511E+02
    11.116375   0.000000   0.000000   0.000000   1.000000   0.000000   0.57005E+02
    11.169938   0.000000   0.000000   0.000000   1.000000   0.000000   0.58514E+02
    11.223504   0.000000   0.000000   0.000000   1.000000   0.000000   0.60041E+02
    11.277073   0.000000   0.000000   0.000000   1.000000   0.000000   0.61608E+02
    11.330645   0.000000   0.000000   0.000000   1.000000   0.000000   0.63229E+02
    11.384221   0.000000   0.000000   0.000000   1.000000   0.000000   0.64899E+02
    11.437799   0.000000   0.000000   0.000000   1.000000   0.000000   0.66620E+02
    11.491380   0.000000   0.000000   0.000000   1.000000   0.000000   0.68400E+02
    11.544965   0.000000   0.000000   0.000000   1.000000   0.000000   0.70230E+02
    11.598552   0.000000   0.000000   0.000000   1.000000   0.000000   0.72092E+02
    11.652144   0.000000   0.000000   0.000000   1.000000   0.000000   0.73974E+02
    11.705738   0.000000   0.000000   0.000000   1.000000   0.000000   0.75884E+02
    11.759336   0.000000   0.000000   0.000000   1.000000   0.000000   0.77841E+02
    11.812936   0.000000   0.000000   0.000000   1.000000   0.000000   0.79869E+02
    11.866539   0.000000   0.000000   0.000000   1.000000   0.000000   0.81963E+02
    11.920145   0.000000   0.000000   0.000000   1.000000   0.000000   0.84112E+02
